District,Year,coriander_Area,coriander_Production,coriander_Yield,dry chillies_Area,dry chillies_Production,dry chillies_Yield,garlic_Area,garlic_Production,garlic_Yield,onion_Area,onion_Production,onion_Yield,potato_Area,potato_Production,potato_Yield,sugarcane_Area,sugarcane_Production,sugarcane_Yield,sweet potato_Area,sweet potato_Production,sweet potato_Yield,guar seed_Area,guar seed_Production,guar seed_Yield,sun hemp_Area,sun hemp_Production,sun hemp_Yield,tapioca_Area,tapioca_Production,tapioca_Yield,citrus fruit_Area,citrus fruit_Production,citrus fruit_Yield,mango_Area,mango_Production,mango_Yield,other fresh fruits_Area,other fresh fruits_Production,other fresh fruits_Yield,other vegetables_Area,other vegetables_Production,other vegetables_Yield,pome fruit_Area,pome fruit_Production,pome fruit_Yield,other oilseeds_Area,other oilseeds_Production,other oilseeds_Yield,ginger_Area,ginger_Production,ginger_Yield,banana_Area,banana_Production,banana_Yield,tobacco_Area,tobacco_Production,tobacco_Yield,papaya_Area,papaya_Production,papaya_Yield,watermelon_Area,watermelon_Production,watermelon_Yield,turmeric_Area,turmeric_Production,turmeric_Yield,grapes_Area,grapes_Production,grapes_Yield,orange_Area,orange_Production,orange_Yield
Ajmer,2012 - 2013,119,140,1.18,482,457,0.95,5,5,1,755,2135,2.83,0,0,0,29,2120,73.1,60,68,1.13,19915,11377,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2013 - 2014,145,93,0.64,402,526,1.31,0,0,0,1449,2934,2.02,0,0,0,23,1586,68.96,54,70,1.3,44540,30025,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2014 - 2015,140,112,0.8,336,400,1.19,0,0,0,1868,4711,2.52,0,0,0,35,2540,72.57,1,1,1,29270,17383,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2015 - 2016,151,161,1.07,465,538,1.16,4,9,2.25,1844,4187,2.27,3,25,8.33,40,3460,86.5,23,69,3,32883,10465,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2016 - 2017,95,108,1.14,526,720,1.37,2,6,3,1180,3326,2.82,12,35,2.92,23,1640,71.3,10,11,1.1,19872,15415,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2017 - 2018,79,105,1.33,312,639,2.05,2,2,1,932,2955,3.17,0,0,0,4,229,57.25,3,22,7.33,16477,13212,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2018 - 2019,207,58,0.28,273,395,1.45,4,10,2.5,889,1689,1.9,2,16,8,4,248,62,1,2,2,13498,11131,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2019 - 2020,183,39,0.21,178,297,1.67,5,3,0.6,1042,3656,3.51,18,46,2.56,1,52,52,1,10,10,12375,12800,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2020 - 2021,186,277,1.49,219,285,1.3,3,3,1,1336,4063,3.04,4,18,4.5,23,1820,79.13,17,68,4,10340,10040,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2021 - 2022,138,86,0.62,214,288,1.35,10,28,2.8,1980,12945,6.54,14,49,3.5,4,303,75.75,12,37,3.08,11688,9204,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,2022 - 2023,92,126,1.37,0,0,0,6,7,1.17,1144,6647,5.81,6,15,2.5,3,268,89.33,2,3,1.5,13137,10621,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,1997 - 1998,0,0,0,0,0,0,0,0,0,0,0,0,100,700,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,1998 - 1999,116,105,0.91,692,554,0.8,7,5,0.71,2992,14853,4.96,434,3004,6.92,276,13184,47.77,10,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,1999 - 2000,63,44,0.7,986,789,0.8,9,9,1,5183,32247,6.22,212,1695,8,237,9677,40.83,13,60,4.62,30990,27379,0.88,76,37,0.49,14,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,144,152,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,2000 - 2001,86,68,0.79,820,679,0.83,4,3,0.75,5299,32381,6.11,85,385,4.53,175,7289,41.65,0,0,0,45672,40832,0.89,63,27,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,131,409,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,2001 - 2002,114,31,0.27,583,294,0.5,5,6,1.2,6044,55921,9.25,99,2060,20.81,99,4722,47.7,4,6,1.5,45161,21240,0.47,51,17,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,149,409,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,2002 - 2003,59,41,0.69,409,43,0.11,7,18,2.57,5735,14121,2.46,119,2562,21.53,123,4685,38.09,15,11,0.73,15628,452,0.03,30,0,0,0,0,0,225,0,0,133,0,0,400,0,0,4510,0,0,20,0,0,0,0,0,0,0,0,1,0,0,154,427,2.77,34,0,0,72,0,0,0,0,0,0,0,0,0,0,0
Alwar,2003 - 2004,261,324,1.24,620,1039,1.68,3,5,1.67,7814,60478,7.74,105,353,3.36,103,6991,67.87,33,234,7.09,23463,0,0,65,86,1.32,0,0,0,254,0,0,146,0,0,408,0,0,4975,0,0,23,0,0,959,803,0.84,0,0,0,2,0,0,129,0,0,16,0,0,44,0,0,0,0,0,0,0,0,0,0,0
Alwar,2004 - 2005,48,55,1.15,679,901,1.33,1,4,4,9500,70860,7.46,52,215,4.13,104,4244,40.81,45,159,3.53,15028,51334,3.42,47,24,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,156,242,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,2005 - 2006,29,30,1.03,543,750,1.38,3,3,1,6489,55030,8.48,77,128,1.66,122,4005,32.83,6,6,1,21018,12925,0.61,32,14,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,140,242,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,2006 - 2007,37,44,1.19,403,1168,2.9,0,0,0,8800,51669,5.87,112,352,3.14,127,7527,59.27,7,12,1.71,24900,28842,1.16,18,6,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,108,118,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,2007 - 2008,61,47,0.77,424,749,1.77,2,2,1,8656,34466,3.98,129,551,4.27,98,3844,39.22,30,101,3.37,34662,39916,1.15,21,29,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,186,105,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
